id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
1014,1,Graduate,Yes,3400000,12300000,8,523,6100000,4700000,8300000,2600000,0
1015,0,Graduate,No,3100000,9300000,6,663,1300000,1400000,8100000,3800000,1
1016,5,Graduate,Yes,8200000,23500000,12,402,15100000,1500000,24300000,5800000,0
1017,2,Not Graduate,Yes,2500000,6400000,6,708,6900000,200000,9900000,3500000,1
1018,2,Not Graduate,Yes,8900000,32200000,12,382,0,11300000,20500000,5400000,0
1019,3,Not Graduate,Yes,3600000,8600000,8,790,5400000,5900000,9800000,5200000,1
1020,3,Graduate,Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0
1021,4,Graduate,No,4600000,16600000,16,805,4800000,8000000,11500000,2800000,1
1022,2,Not Graduate,Yes,3800000,8000000,12,866,6000000,600000,8400000,1900000,1
1023,4,Graduate,No,7600000,25100000,4,671,4600000,13200000,27400000,4300000,1
1024,5,Graduate,Yes,7300000,18700000,16,813,6600000,8200000,20000000,5800000,1
1025,4,Not Graduate,No,2200000,8600000,20,373,4100000,1300000,5900000,1400000,0
1026,2,Not Graduate,Yes,8700000,19900000,10,829,7500000,10500000,20200000,8400000,1
1027,1,Graduate,No,4700000,15700000,4,468,13300000,5100000,16200000,3600000,1
1028,0,Graduate,No,9200000,22500000,10,317,14200000,17400000,28500000,10700000,0
1029,4,Graduate,Yes,4700000,13000000,6,552,5600000,8300000,11900000,2400000,1
1030,4,Not Graduate,Yes,8900000,27100000,18,363,7800000,9600000,25400000,12700000,0
1031,1,Not Graduate,No,7200000,24900000,14,666,3600000,11600000,16600000,5800000,1
1032,0,Not Graduate,Yes,6900000,22100000,20,303,13600000,4600000,22000000,6900000,0
1033,3,Not Graduate,Yes,6300000,17700000,2,542,16800000,900000,16400000,5300000,0
1034,2,Not Graduate,No,8700000,22700000,4,365,8200000,14800000,30200000,7200000,0
1035,2,Not Graduate,No,7100000,27000000,10,430,20700000,8300000,24500000,4200000,0
1036,4,Graduate,No,3700000,13200000,4,802,9800000,2400000,12500000,4300000,1
1037,1,Graduate,No,1600000,6300000,2,721,3000000,600000,5200000,900000,1
1038,0,Graduate,Yes,6100000,19900000,20,761,4500000,3700000,12700000,7100000,1
1039,0,Not Graduate,No,1300000,3400000,10,464,1200000,200000,3500000,1400000,0
1040,5,Not Graduate,Yes,200000,300000,8,412,-100000,100000,500000,100000,0
1041,0,Not Graduate,No,7900000,31500000,14,849,19400000,10300000,26600000,10600000,1
1042,2,Graduate,Yes,9900000,33400000,14,783,16600000,16100000,21000000,9500000,1
1043,2,Graduate,Yes,7700000,19700000,14,885,19900000,14600000,22000000,8000000,1
1044,2,Not Graduate,No,4900000,13500000,8,328,10500000,8100000,18300000,3400000,0
1045,4,Not Graduate,Yes,7600000,20000000,18,691,5000000,8700000,23400000,11200000,1
1046,4,Not Graduate,No,8300000,30700000,6,381,21700000,2300000,26700000,4600000,0
1047,0,Not Graduate,No,8400000,19600000,18,530,17000000,3600000,24200000,12300000,0
1048,3,Not Graduate,Yes,9500000,25500000,12,881,27000000,14100000,21600000,8900000,1
1049,0,Graduate,Yes,9400000,29900000,12,302,12300000,1500000,35700000,8200000,0
1050,5,Graduate,Yes,8700000,18400000,12,394,18800000,3200000,24600000,12000000,0
1051,0,Not Graduate,Yes,8600000,32600000,8,778,21500000,14100000,33600000,11000000,1
1052,3,Graduate,Yes,7700000,22300000,20,895,22200000,13300000,23900000,9100000,1
1053,4,Not Graduate,No,1600000,3200000,16,657,200000,100000,5700000,1200000,1
1054,5,Not Graduate,No,8500000,31300000,12,378,21400000,13100000,30400000,8800000,0
1055,3,Not Graduate,No,4400000,10500000,18,677,100000,2000000,12100000,5000000,1
1056,0,Graduate,No,7500000,25100000,14,877,21000000,11400000,16900000,10700000,1
1057,4,Not Graduate,Yes,3700000,11900000,18,635,6100000,6400000,11200000,4700000,1
1058,1,Graduate,Yes,9200000,29200000,6,669,9900000,12900000,23400000,11700000,1
1059,5,Not Graduate,Yes,7600000,15400000,14,576,2300000,2800000,24500000,4700000,1
1060,3,Not Graduate,Yes,6200000,14600000,2,664,18300000,8400000,16800000,6600000,1
1061,1,Not Graduate,No,9600000,32400000,20,447,15400000,18400000,19800000,4700000,0
1062,2,Graduate,Yes,1800000,4200000,8,648,1200000,3100000,6200000,1600000,1
1063,2,Graduate,No,4800000,18500000,20,605,5700000,5500000,14700000,5800000,1
1064,5,Not Graduate,No,5200000,13700000,16,531,8800000,4500000,15700000,2900000,0
1065,0,Graduate,Yes,2800000,6800000,12,349,4100000,2000000,11100000,1400000,0
1066,3,Not Graduate,Yes,4000000,8600000,4,667,11500000,6300000,15300000,3500000,1
1067,0,Graduate,No,9400000,28300000,20,761,22500000,14800000,30800000,10100000,1
1068,4,Graduate,Yes,5500000,18900000,6,379,13900000,9100000,18500000,3100000,0
1069,4,Not Graduate,Yes,4200000,15900000,14,375,7200000,7900000,16200000,3000000,0
1070,0,Graduate,Yes,6100000,14600000,18,645,14500000,200000,23000000,4600000,1
1071,0,Not Graduate,No,8200000,20900000,14,766,4400000,12300000,18400000,12100000,1
1072,3,Graduate,No,2800000,9400000,10,519,7000000,3500000,7700000,1500000,0
1073,3,Graduate,No,6300000,13900000,18,748,17700000,8800000,21700000,8600000,1
1074,2,Not Graduate,No,6600000,14100000,2,471,10800000,11400000,20700000,6000000,0
1075,5,Graduate,No,2900000,9800000,12,588,5900000,2300000,6800000,2900000,1
1076,0,Not Graduate,Yes,2000000,6000000,14,393,1500000,1400000,5900000,2900000,0
1077,4,Not Graduate,No,800000,2800000,12,453,1500000,300000,2900000,600000,0
1078,4,Graduate,Yes,2000000,7400000,20,596,600000,2300000,4900000,2500000,1
1079,3,Not Graduate,No,8700000,24700000,8,369,4000000,800000,31100000,4800000,0
1080,3,Not Graduate,Yes,1000000,2500000,18,763,400000,1100000,2100000,1400000,1
1081,0,Not Graduate,Yes,4000000,11000000,8,799,4400000,6100000,14700000,4200000,1
1082,0,Graduate,No,2800000,7300000,6,676,3500000,2200000,5700000,3200000,1
1083,4,Graduate,No,1600000,5500000,10,577,400000,1200000,4100000,1400000,1
1084,3,Not Graduate,No,1300000,5000000,6,686,2700000,2000000,4100000,900000,1
1085,1,Not Graduate,Yes,4000000,15600000,12,436,10400000,2800000,14800000,3200000,0
1086,1,Not Graduate,No,6500000,16000000,6,862,2000000,0,24000000,9700000,1
1087,4,Not Graduate,Yes,3100000,8600000,14,427,3100000,3800000,9900000,3700000,0
1088,3,Graduate,Yes,7700000,21800000,18,684,100000,600000,15600000,5500000,1
1089,0,Graduate,Yes,7600000,18100000,16,439,12800000,5900000,29800000,10600000,0
1090,4,Not Graduate,Yes,5700000,13900000,12,775,1600000,3100000,15900000,7100000,1
1091,1,Not Graduate,Yes,1300000,5000000,20,423,900000,800000,3900000,1600000,0
1092,2,Not Graduate,No,8400000,25900000,16,621,8600000,13400000,33500000,4200000,1
1093,5,Not Graduate,No,6200000,24200000,18,610,10200000,7800000,19600000,8300000,1
1094,4,Graduate,No,5900000,19900000,14,469,14200000,6800000,22100000,3200000,0
1095,3,Graduate,Yes,6100000,18100000,14,538,11800000,4200000,16200000,7500000,0
1096,1,Graduate,No,7900000,25700000,20,681,14900000,3000000,18100000,8800000,1
1097,3,Graduate,Yes,9200000,33500000,8,564,20800000,15200000,29800000,11400000,1
1098,0,Graduate,No,9300000,27200000,8,629,4500000,14300000,26900000,5000000,1
1099,3,Not Graduate,Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000,0
1100,0,Graduate,No,4700000,15200000,10,786,11100000,8000000,9600000,3200000,1
1101,0,Not Graduate,Yes,4700000,17000000,18,802,3600000,1600000,17800000,2700000,1
1102,3,Not Graduate,No,9200000,35500000,2,715,11100000,11800000,19800000,11700000,1
1103,3,Not Graduate,No,9000000,19000000,8,693,18300000,4500000,29600000,7200000,1
1104,2,Graduate,No,8400000,33200000,14,474,19600000,15000000,25400000,11500000,0
1105,5,Graduate,Yes,7500000,28200000,2,440,8200000,5800000,24400000,6000000,1
1106,5,Not Graduate,Yes,2700000,8700000,20,687,2600000,1200000,9000000,1300000,1
1107,2,Graduate,Yes,600000,2400000,6,454,100000,600000,2300000,300000,0
1108,2,Graduate,No,4500000,11400000,10,388,11600000,3000000,14300000,2900000,0
1109,5,Graduate,Yes,3000000,8800000,14,402,5600000,5300000,8600000,4200000,0
1110,2,Not Graduate,No,7100000,21500000,16,610,5800000,12100000,14200000,9300000,1
1111,0,Not Graduate,No,9500000,35300000,6,605,10000000,12700000,31100000,7000000,1
1112,1,Not Graduate,Yes,2100000,4200000,18,554,3400000,800000,6400000,1500000,1
1113,2,Graduate,No,6100000,23600000,2,476,4600000,2900000,22500000,3800000,1
1114,2,Not Graduate,Yes,2700000,9400000,14,701,400000,3400000,9900000,1900000,1
1115,0,Not Graduate,No,3000000,7000000,12,409,6400000,4900000,8000000,3500000,0
1116,3,Not Graduate,No,4500000,11700000,18,775,8700000,2800000,12700000,4500000,1
1117,4,Graduate,Yes,9600000,19900000,6,319,3200000,16500000,28100000,6600000,0
1118,3,Not Graduate,Yes,6900000,17900000,18,494,7700000,11200000,15400000,8700000,0
1119,2,Graduate,No,4700000,14000000,12,784,13400000,2700000,14800000,6900000,1
1120,4,Graduate,No,2500000,5400000,10,592,3400000,1500000,9900000,2900000,1
1121,5,Graduate,Yes,5300000,18200000,16,546,14600000,7900000,13400000,4000000,0
1122,1,Graduate,No,7400000,15500000,2,693,3000000,12800000,21800000,9300000,1
1123,2,Not Graduate,Yes,3900000,11300000,12,516,3100000,0,10400000,4600000,0
1124,0,Not Graduate,No,6600000,14100000,20,360,6800000,5100000,25400000,7800000,0
1125,5,Graduate,No,3600000,11600000,14,546,8500000,300000,12000000,4800000,0
1126,0,Graduate,No,300000,500000,2,885,200000,400000,700000,200000,1
1127,1,Graduate,No,5600000,11700000,10,774,11000000,4300000,13100000,6500000,1
1128,0,Graduate,Yes,3800000,8100000,20,831,6500000,1700000,7700000,2000000,1
1129,4,Graduate,No,4800000,14300000,6,795,5900000,0,11100000,2600000,1
1130,1,Not Graduate,No,8800000,22200000,18,794,8400000,11900000,21000000,10500000,1
1131,5,Not Graduate,Yes,4600000,14500000,14,561,2300000,6200000,10200000,5800000,1
1132,2,Graduate,No,4100000,15600000,12,838,5500000,4800000,15100000,2700000,1
1133,3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1
1134,2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,1
1135,5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,1
1136,5,Not Graduate,No,2300000,5700000,18,329,5600000,3300000,4900000,2700000,0
1137,4,Graduate,Yes,1300000,3900000,16,566,700000,200000,3400000,1600000,1
1138,1,Graduate,Yes,3700000,12600000,10,424,5400000,1100000,14200000,4400000,0
1139,4,Not Graduate,Yes,2500000,5100000,20,695,1100000,4100000,6700000,3500000,1
1140,0,Not Graduate,Yes,1700000,5400000,8,682,2400000,1000000,3900000,2100000,1
1141,5,Graduate,Yes,6400000,21900000,12,699,15700000,500000,17200000,3800000,1
1142,4,Not Graduate,No,2000000,6000000,12,837,1300000,1900000,6300000,2300000,1
1143,1,Graduate,No,1600000,3500000,18,619,3200000,100000,6300000,1500000,1
1144,5,Graduate,Yes,2800000,10900000,6,359,5000000,3300000,7600000,3000000,0
1145,3,Not Graduate,Yes,5300000,19500000,4,591,13200000,4700000,19800000,7900000,1
1146,5,Not Graduate,Yes,7500000,17000000,8,300,7800000,8300000,18900000,6700000,0
1147,1,Graduate,Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000,0
1148,0,Not Graduate,Yes,3600000,9900000,12,641,10300000,2400000,9100000,2700000,1
1149,3,Graduate,Yes,3800000,15100000,20,540,9400000,1000000,9300000,3600000,0
1150,1,Not Graduate,No,1100000,2600000,6,858,1800000,1900000,2700000,600000,1
1151,0,Graduate,Yes,3200000,12000000,14,645,5200000,1400000,12100000,3400000,1
1152,4,Not Graduate,Yes,5900000,15000000,14,626,16400000,4600000,17600000,8200000,1
1153,4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0
1154,2,Graduate,Yes,8500000,25600000,16,714,11400000,14800000,17200000,5700000,1
1155,4,Not Graduate,No,6000000,18000000,18,882,6700000,2500000,12200000,7500000,1
1156,1,Graduate,Yes,7600000,19300000,20,835,5800000,2300000,22000000,8200000,1
1157,0,Not Graduate,No,1200000,2900000,18,348,400000,1200000,2900000,600000,0
1158,3,Not Graduate,No,8300000,25700000,12,453,24000000,14600000,20400000,5700000,0
1159,2,Graduate,No,1700000,3700000,20,558,4100000,1400000,5000000,2500000,1
1160,5,Not Graduate,No,9800000,26600000,12,664,5200000,2900000,22500000,14100000,1
1161,4,Graduate,Yes,600000,2300000,6,495,1700000,600000,2000000,300000,0
1162,2,Not Graduate,No,8700000,28000000,12,543,16900000,6000000,22900000,6700000,0
1163,0,Not Graduate,Yes,8000000,30400000,2,776,16600000,1400000,29100000,7800000,1
1164,4,Graduate,Yes,7100000,18200000,4,790,2500000,2200000,25500000,9600000,1
1165,5,Graduate,Yes,9800000,30300000,6,867,20800000,16000000,30200000,7600000,1
1166,3,Not Graduate,Yes,7500000,21600000,14,678,8800000,12100000,20100000,11200000,1
1167,4,Graduate,Yes,8800000,27100000,2,406,16300000,6200000,26100000,5800000,1
1168,2,Graduate,Yes,5500000,21700000,2,309,11800000,1000000,21600000,7600000,1
1169,3,Not Graduate,Yes,4000000,10400000,14,609,2100000,6900000,11700000,4600000,1
1170,0,Graduate,No,3100000,6500000,2,391,100000,3800000,9900000,2400000,0
1171,5,Graduate,Yes,1400000,2700000,16,320,900000,2500000,2700000,2000000,0
1172,3,Not Graduate,Yes,700000,1600000,18,303,600000,500000,2000000,600000,0
1173,2,Graduate,No,4900000,16000000,12,710,8700000,7100000,10000000,5700000,1
1174,2,Graduate,No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1
1175,4,Graduate,Yes,3100000,8100000,12,730,6300000,4500000,9000000,4500000,1
1176,2,Graduate,No,6800000,22600000,20,393,2100000,2200000,20300000,8200000,0
1177,2,Graduate,Yes,7600000,18100000,14,320,14700000,2600000,28100000,8500000,0
1178,5,Not Graduate,Yes,2100000,6500000,10,796,2400000,2800000,7300000,2700000,1
1179,5,Not Graduate,No,5700000,11600000,4,892,10200000,6100000,19800000,7400000,1
1180,3,Not Graduate,No,6800000,17900000,6,783,20000000,9800000,23600000,5500000,1
1181,3,Graduate,Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000,1
1182,0,Not Graduate,Yes,9000000,24300000,10,599,12900000,3400000,26900000,6400000,1
1183,4,Not Graduate,Yes,7000000,23500000,18,336,15000000,9500000,19700000,7800000,0
1184,1,Graduate,No,8800000,20200000,6,627,24200000,16100000,17600000,11900000,1
1185,3,Not Graduate,No,1300000,3600000,16,624,2400000,2300000,3300000,1900000,1
1186,1,Graduate,No,6300000,17200000,12,714,10100000,4200000,24700000,8500000,1
1187,3,Not Graduate,No,2900000,8500000,14,834,1200000,4500000,8800000,1800000,1
1188,2,Graduate,No,9300000,21200000,2,509,2800000,2600000,35800000,6600000,0
1189,5,Not Graduate,No,8300000,23100000,4,459,5500000,14300000,28400000,5500000,0
1190,3,Not Graduate,No,8100000,30400000,12,606,900000,1100000,31900000,11600000,1
1191,1,Graduate,Yes,3800000,10500000,12,710,1800000,6200000,12500000,2500000,1
1192,3,Graduate,No,4100000,15300000,6,440,7500000,5100000,8200000,2000000,0
1193,2,Not Graduate,Yes,5100000,13700000,6,559,7800000,9800000,12700000,5100000,1
1194,5,Graduate,No,9400000,21800000,6,850,13300000,11700000,24800000,6800000,1
1195,4,Not Graduate,Yes,6700000,15800000,12,466,7500000,4600000,19900000,6600000,0
1196,0,Not Graduate,No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1
1197,3,Graduate,No,2100000,8200000,6,754,900000,2900000,4900000,1000000,1
1198,3,Not Graduate,Yes,300000,500000,6,386,800000,200000,1200000,100000,0
1199,3,Not Graduate,No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0
1200,2,Graduate,Yes,6400000,24100000,6,592,2500000,6300000,20200000,6000000,1
1201,0,Graduate,Yes,7000000,22100000,14,467,10000000,6400000,26100000,5800000,0
1202,3,Not Graduate,No,1800000,5700000,2,422,4800000,0,3700000,2300000,1
1203,2,Not Graduate,No,3300000,6600000,6,331,6300000,2000000,8900000,2700000,0
1204,5,Not Graduate,No,6800000,20000000,4,459,14500000,3000000,25000000,4900000,0
1205,3,Graduate,Yes,9800000,35400000,6,869,14400000,16400000,22800000,10300000,1
1206,0,Graduate,No,4600000,18100000,14,442,2800000,200000,15600000,3300000,0
1207,0,Not Graduate,No,5700000,15900000,16,638,100000,9500000,16300000,4500000,1
1208,2,Not Graduate,No,6100000,21800000,4,407,9800000,100000,20200000,5800000,1
1209,4,Graduate,Yes,6200000,21300000,16,882,11800000,3500000,12900000,4100000,1
1210,1,Not Graduate,Yes,8100000,27600000,16,438,1000000,10500000,32200000,8000000,0
1211,1,Not Graduate,No,8600000,25900000,2,606,3700000,14900000,32700000,12200000,1
1212,0,Not Graduate,No,3500000,11900000,12,686,4400000,4800000,10100000,2500000,1
1213,4,Not Graduate,No,2400000,6600000,2,722,6100000,3300000,5600000,3000000,1
1214,5,Graduate,Yes,1100000,3200000,20,592,3200000,700000,3500000,500000,1
1215,3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0
1216,5,Graduate,Yes,6900000,16500000,6,447,4100000,400000,14100000,6600000,0
1217,1,Not Graduate,Yes,2400000,9300000,20,543,700000,800000,5000000,3400000,0
1218,0,Graduate,Yes,5300000,12900000,20,826,15500000,6800000,12000000,5200000,1
1219,4,Not Graduate,No,1300000,3500000,12,512,3300000,1400000,3200000,700000,0
1220,0,Graduate,Yes,5800000,12700000,12,528,8400000,7300000,19600000,7600000,0
1221,3,Not Graduate,No,4500000,16400000,6,533,1800000,5600000,12200000,3900000,0
1222,5,Not Graduate,No,2200000,5400000,12,833,4900000,3300000,7000000,1600000,1
1223,4,Graduate,No,8000000,30100000,4,431,11900000,13800000,18800000,11500000,1
1224,2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1
1225,4,Graduate,No,7900000,31400000,8,698,16500000,11400000,28700000,5100000,1
1226,0,Not Graduate,No,3800000,13300000,6,655,9600000,0,8600000,2600000,1
1227,2,Graduate,Yes,6500000,20900000,14,327,8200000,100000,22800000,4700000,0
1228,3,Graduate,No,3800000,12100000,20,364,4100000,5100000,11600000,3000000,0
1229,2,Graduate,Yes,2400000,7500000,4,851,3100000,700000,5600000,2400000,1
1230,1,Graduate,Yes,200000,400000,18,859,300000,100000,400000,200000,1
1231,5,Graduate,Yes,8100000,22500000,2,808,4800000,6100000,16900000,6000000,1
1232,5,Graduate,Yes,4500000,17100000,2,639,10600000,7500000,12000000,6500000,1
1233,0,Not Graduate,No,200000,300000,6,472,400000,100000,700000,0,0
1234,4,Not Graduate,No,600000,1200000,14,338,500000,500000,2300000,500000,0
1235,2,Not Graduate,Yes,8700000,18900000,2,554,3900000,1900000,18000000,11500000,1
1236,1,Not Graduate,Yes,3500000,11600000,10,898,3100000,2700000,9000000,4500000,1
1237,4,Graduate,No,4700000,10800000,20,495,11300000,6800000,17000000,4500000,0
1238,2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1
1239,4,Graduate,Yes,2700000,10400000,16,671,6100000,3700000,5600000,4000000,1
1240,0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0
1241,3,Not Graduate,Yes,1000000,3200000,14,790,1900000,100000,3600000,1100000,1
1242,4,Not Graduate,No,6000000,18700000,2,623,4300000,4000000,19100000,5700000,1
1243,0,Not Graduate,Yes,1200000,3000000,4,827,3200000,600000,2300000,1500000,1
1244,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0
1245,4,Not Graduate,No,7600000,29700000,6,603,3200000,2900000,27800000,11000000,1
1246,1,Not Graduate,Yes,9500000,28700000,16,526,24600000,4900000,31800000,6600000,0
1247,1,Graduate,Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,1
1248,5,Graduate,Yes,9900000,31800000,18,817,23400000,700000,32600000,11500000,1
1249,4,Not Graduate,No,300000,1000000,10,819,700000,300000,900000,200000,1
